B1NN=Cc2ccccc21 aaa
C1=CCC2(CC1)CCNCC2 afj
C1=CCC2(CC1)CCOC2 afk
C1=CCC2(CC1)Cc1ccccc1C21N=CNO1 afl
C1=CCC2(CC1)OCCO2 afm
C1=CCC2C=CC=CC2=C1 afn
C1=CCC2CC=CCC2C1 afo
C1=CCC2CCCCC2C1 afp
C1=CCC2CNCC2C1 afq
C1=CCC2c3ccccc3CCC2C1 afr
C1=CCC2c3ccccc3OCC2C1 afs
C1=CCC2c3ccccc3SCC2C1 aft
C1=CCC2c3ccsc3CCC2C1 afu
C1=CCC=C1 afv
C1=CCC=CC1 afw
C1=CCCC1 afx
C1=CCCC=C1 afy
C1=CCCC=CCC1 afz
C1=CCCC=CN=CN=C1 afA
C1=CCCCC1 afB
C1=CCCCC=C1 afC
C1=CCCCCC1 afD
C1=CCCCCC=C1 afE
C1=CCCCCCC1 afF
C1=CCCCNC=C1 afG
C1=CCCN=C1 afH
C1=CCCNCC1 afI
C1=CCCOCC1 afJ
C1=CCCOc2ncc(n2)-c2ccccc2OCCCC1 afK
C1=CCN2C=CNC2=C1 afL
C1=CCN2CCCC2C1 afM
C1=CCN2CCCCC2C1 afN
C1=CCN2CCOCC2C1 afO
C1=CCN2CCc3c([nH]c4ccccc34)C2C1 afP
C1=CCN2CCc3ccccc3C2C1 afQ
C1=CCN=C1 afR
C1=CCNC1 afS
C1=CCNC=C1 afT
C1=CCNCC1 afU
C1=CCNCCNC1 afV
C1=CCNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1 afW
C1=CCNN=C1 afX
C1=CCNNC1 afY
C1=CCNc2cc[n+](c3ccccc23)CCCCC[n+]2ccc(c3ccccc32)NC1 afZ
C1=CCNc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1 aga
C1=CCOC1 agb
C1=CCOC2CCN(C2)c2cc(n3nccc3n2)Nc2cccc(c2)OC1 agc
C1=CCOC=C1 agd
C1=CCOCC1 age
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)CNC1 agf
C1=CCOCc2cccc(c2)C2=CC=NC(=Nc3cccc(c3)COC1)N2 agg
C1=CCOCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)CNC1 agh
C1=CCOCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1 agi
C1=CCONC1 agj
C1=CCOOC1 agk
C1=CCSC1 agl
C1=CCSC=C1 agm
C1=CCSCC1 agn
C1=CC[N+]C1 ago
C1=CC[N+]CC1 agp
C1=CC[NH+]C=C1 agq
C1=CC[S+]CC1 agr
C1=CC[S+]NC1 ags
C1=CC[n+]2ccc(c3ccccc32)NCCCCCNc2cc[n+](c3ccccc23)C1 agt
C1=CCc2c[nH]cc2C1 agu
C1=CCc2ccccc2C1 agv
C1=CCc2cncc2C1 agw
C1=CCc2ncccc2C1 agx
C1=CCc2nonc2C1 agy
C1=CN2C(=Nc3cccc4cccc2c34)S1 agz
C1=CN2C=CSC2N1 agA
C1=CN2C=NOC2C2ON=CN12 agB
C1=CN2CC=Cc3cccc(c32)C1 agC
C1=CN2CCC1CC2 agD
C1=CN2CCC=C2S1 agE
C1=CN2CCCC1C2 agF
C1=CN2CCCCC2O1 agG
C1=CN2CCCCCC2N1 agH
C1=CN2CCCN=C2S1 agI
C1=CN2CCN=C2C=N1 agJ
C1=CN2CCN=C2S1 agK
C1=CN2CCN=C2c2ccccc21 agL
C1=CN2CCNCC2C1 agM
C1=CN2CC[N+]=C2S1 agN
