B aaa
C1#CCC2CC3C=C4C(CCCC45CCCC3C5CC1)c1cccc(c1)Cc1cccc(c1)C1(CCCCC1)NC=N2 elf
C1#CCC2CC3C=C4C(CCCC4C(C=C1)C3)c1cccc(c1)Cc1ccc3c(c1)C1(CCCCC1CC3)NCN2 elg
C1#CCC2CC3C=C4C(CCCC4C(C=C1)C3)c1cccc(c1)Cc1cccc(c1)C1(CCCCC1)NCN2 elh
C1#CCC2CC3CCC4CCC2(NC43)C2=CC=C3CCCC(C1)C3C2 eli
C1#CCC2CC=C3CC(C1)CC1C=CC(C4=CNCC=C4)CC2C31 elj
C1#CCC2CC=C3CC(C1)CCC31C=CCCC21 elk
C1#CCC2CC=COC2c2cccc(c2)OCC1 ell
C1#CCC2CCC(CC1)CC2C1=CCCCC1 elm
C1#CCC2CCC(CCC3CCCC3CC1)O2 eln
C1#CCC2CCC(CCC=C1)OC21CC#CC2CCCC(OC1)O2 elo
C1#CCC2CCC(OC=C1)OC21C=CNCC1 elp
C1#CCC2CCC3(OCCCC=C3CC=C1)OC2 elq
C1#CCC2CCC3C=C4CCCCC4C2C3CCCCCCC1 elr
C1#CCC2CCC3C=CCC2C3CCCCC(C2CCCCC2)CC1 els
C1#CCC2CCCC2NCCCC1 elt
C1#CCC2CCCC34CCCCCC56CCC3=C3C(C=CC(CC5)C36CC1)C(C1=CCCCC1)C24 elu
C1#CCC2CCCC3C4=C5C(C=CC6CC7CCC=CCC7(CC4)C56CC1)CC23 elv
C1#CCC2CCCC3C4=C5C(C=CC6CCC(CC4)C56CC1)C(C1=CCCCC1)C23 elw
C1#CCC2OC=CCC2OCCCCc2cccc(c2)C1 elx
C1#CCC2OCC(=C3CC=CCO3)C3OCCCCc4ccc(cc4C1)CCCCOC23 ely
C1#CCC2OCC3OC34C(CC1)CCCC24 elz
C1#CCC2OCCC3C2CCC(C2CCCOC2)C3CC1 elA
C1#CCC2OCCC3C2CCC(C2CCOC2)C3CC1 elB
C1#CCC2OCCC3C2CCC2CCCCC23CC1 elC
C1#CCC2OCCC3OCCC4CCC=CC4c4ccc(cc4C1)CCCCOC23 elD
C1#CCC=C(C2=COCCC=C2)C2Cc3ccc4c(c3O2)C2(CCC4)CCC(CC=C1)C2 elE
C1#CCC=CC1 elF
C1#CCCC(=C2C=CCCOC2)C2Cc3ccc4c(c3O2)C2(CC=C4)CCC(CC=C1)C2 elG
C1#CCCC(=C2C=CCCOC2)C2Cc3ccc4c(c3O2)C2(CC=C4)CCC(CCC1)C2 elH
C1#CCCC(=C2C=CCCOC2)C2Cc3ccc4c(c3O2)C2(CCC4)CCC(CC=C1)C2 elI
C1#CCCC(=C2C=CCCOC2)C2Cc3ccc4c(c3O2)C2(CCC4)CCC(CCC1)C2 elJ
C1#CCCC(C23CCCC(CCC2)C3)CCCCCCCC1 elK
C1#CCCC(C2CCCCC2)CC2CCCC(CC1)CC2 elL
C1#CCCC(C2CCCCC2)CCCCCCCC1 elM
C1#CCCC2(C3CCCCC3)CCCC(CCCC1)CC2 elN
C1#CCCC23CC4C#CCCC5CCC6(C5)CC5CCCCC7CC(C4C(C6)C75)C2CC2CC(CCC=C1)CCC23 elO
C1#CCCC23CC=CCC2CCC(CCCC1)CC3 elP
C1#CCCC23CCCCC2CC2CC(CCC=C1)CCC23 elQ
C1#CCCC2=CCOC2CC=CCC1 elR
C1#CCCC2C3CCC(CCC=C1)CC3CC2C1CCCCC1 elS
C1#CCCC2C3CCC(CCCC1)CC3CC2C1CCCCC1 elT
C1#CCCC2C=CCC3C2C=C2CCCCC2C3C=C1 elU
C1#CCCC2CC=CCC2CCCCCCC1 elV
C1#CCCC2CCC3CC(CCC=C1)C1OCC=C1C23 elW
C1#CCCC2CN2CCCC1 elX
C1#CCCC=C1 elY
C1#CCCCC1 elZ
C1#CCCCC2C(C=CCC1)C1CCC=CCCC12 ema
C1#CCCCC2C=C3CCCCC34CCCC2C4C=C1 emb
C1#CCCCC2C=C3CCCCC3C(C=C1)C2 emc
C1#CCCCC2CCC2C=CCC1 emd
C1#CCCCC2OCC3CCC(CC=CC2CCCC1)CN3 eme
C1#CCCCC2OCC3CCC(CCCC2CCCC1)CN3 emf
C1#CCCCCC2(C=CCC1)CC=CCC2 emg
C1#CCCCCC2CCOC2=CCC1 emh
C1#CCCN2C=C3C(=CN=C3C2)C2C=CCC=C2CC1 emi
C1#CCCN2C=C3C(=CN=C3C2)C2CCCC=C2CC1 emj
C1#CCCN2C=C3C(=CN=C3C2)CC(=C2C=CNCC2)CC1 emk
C1#CCCN2C=C3N=CC(=C3C2)C2C=CCC=C2CC1 eml
C1#CCCN2C=C3N=CC(=C3C2)C2CCCC=C2CC1 emm
C1#CCCN2C=C3N=CC(=C3C2)CC(=C2CC=NCC2)CC1 emn
C1#CCC[N+]2=CC3=NC=C(CC(=C4C=CNCC4)CC1)C3=C2 emo
C1#CCCn2cc3[nH]cc(c3c2)C2C=CCC=C2CC1 emp
C1#CCCn2cc3[nH]cc(c3c2)C2CCCC=C2CC1 emq
C1#CCCn2cc3[nH]cc(c3c2)CC(=C2C=CNCC2)CC1 emr
C1#CCNC=C1 ems
C1#CCNCC1 emt
C1#CCNNC1 emu
C1#CCOC2=CC3=C(CC2)OCC(C2CC=COC2)C3OCCC1 emv
C1#CCOC2C3=CCC4CC(CCC4C3CC3CC#CCC4CCC(CCCC32)O4)OCC1 emw
C1#CCOC=C1 emx
C1#CCOCC1 emy
C1#CCONC1 emz
C1#CCOOC1 emA
C1#CCSC=C1 emB
C1#CCSCC1 emC
C1#CC[SH2]CC1 emD
C1#CCc2cc(c3c(c2)OCCC3)CCCCCCCC=C1 emE
C1#CN=CCC1 emF
C1#CN=CNC1 emG
C1#CNC=CC1 emH
C1#CNCC=C1 emI
C1#CNCC=N1 emJ
C1#CNCCC1 emK
C1#CNCCN1 emL
C1#CNCNC1 emM
C1#CNCNc2cccc(c2)C2(CC=CCCCC1)CCCC2 emN
C1#CNCOC1 emO
C1#CNNC=C1 emP
C1#CNNCC1 emQ
C1#CNNCN1 emR
C1#CNNNC1 emS
C1#CNOC=C1 emT
C1#CNOCC1 emU
C1#CNPOC1 emV
C1#CNSC=C1 emW
C1#COC2CC3COC(C4=C[CH+]N=C4)C=Cc4cc5c6c7c(c(cc6c4OC(C2)O3)CCN2Cc3cccc(c3C2)C1)CCC=C7CC5 emX
C1#COC2CC3COCC=Cc4ccc5c6c(c(cc5c4OC(C2)O3)CCN2Cc3cccc(c3C2)C1)CCC=C6 emY
C1#COC2CC3COCC=Cc4ccc5cc(C6CCCC6)c(cc5c4OC(C2)O3)CCN2Cc3cccc(c3C2)C1 emZ
C1#COC2NCCC3CCCNC32C1 ena
C1#COC2NCNC3CCCNC32C1 enb
C1#COC2NNCC3CCCNC32C1 enc
C1#COCC=C1 end
C1#COCCC1 ene
C1#COCCO1 enf
C1#COCNC1 eng
C1#CONC=C1 enh
C1#CONCC1 eni
C1#COOC=C1 enj
C1#COOCC1 enk
C1#COOCN1 enl
C1#COPOC1 enm
C1#CSCCC1 enn
C1#C[SH2]CCC1 eno
C1#C[SH2]NCC1 enp
C1#C[SH]2CCOc3cccc(c32)C1 enq
C1#Cc2c[nH]c3cccc(c23)C1 enr
C1#Cc2csc3c2N(C1)CNC3 ens
C1#Cc2csc3c2N(C1)NNC3 ent
C1#Cc2csc3c2N(CNC3)N1 enu
C1#Cc2csc3c2N(N1)NNC3 env
C1#Cc2n[nH]c3cccc(c23)C1 enw
C1#SC(=C2[CH-][CH-]C#S2)C=C1 enx
C1#SC2=CCC[C-]2[CH-]1 eny
C1#[N+]CCCN1 enz
C1#[N+]CCON1 enA
C1#[N+]CNCC1 enB
C1#[N+]CNNC1 enC
C1#[N+]CNOC1 enD
C1#[N+]NCCC1 enE
C1#[N+]NCCN1 enF
C1#[N+]NCNC1 enG
C1#[N+]NNCC1 enH
C1#[N+]NNCN1 enI
C1#[N+]NNNC1 enJ
C1#[N+]NOCC1 enK
C1=C(C23CC4CC(C2)C2OC3OC42)CCOC1 enL
C1=C(C23CC4CC(C2)OC(O4)O3)CCC1 enM
C1=C(C23CC4CC5CC4C2C5CO3)CCOC1 enN
C1=C(C23CC4CC5CC6C2OC(O3)OC46C5)CCOC1 enO
C1=C(C23CC4CCC(O2)C(C4)C3)CCOC1 enP
C1=C(C23CC4CCCC(C2)C4O3)CCOC1 enQ
C1=C(C23CCC(CN2)S3)NCC1 enR
C1=C(C23CCCC(CN2)O3)NCC1 enS
C1=C(C23CCCC(CNC2)C3)C2CC3C1C3C2 enT
C1=C(C23CCCC(CO2)C3)C2CCC(C1)C2 enU
C1=C(C23CCN(CC2)CN3)NCC1 enV
C1=C(C23OC4OC2C2CC5CC2C(C5)C3O4)CCOC1 enW
C1=C(C2=CC3C4CCC(C2)C3OC4)CCOC1 enX
C1=C(C2=CC3C4CCCC3C(CC4)N2)CCCC1 enY
C1=C(C2=CC3CC4C(NCC24)O3)CCCCC1 enZ
C1=C(C2=CC3CC4CC(C2)C(C4)O3)CCOC1 eoa
C1=C(C2=CC3CC4CC(C2)C3C4)CCOC1 eob
C1=C(C2=CC3CC4CCC2C3C4)CCOC1 eoc
C1=C(C2=CC3CC4COC3C(C2)C4)CCOC1 eod
C1=C(C2=CC3CCC2N3)OCO1 eoe
C1=C(C2=CC3CCCC(C3)N2)CCCC1 eof
C1=C(C2=CC3CCCC(N3)O2)CCN1 eog
C1=C(C2=CC3CCCC(O2)O3)CCCC1 eoh
C1=C(C2=CC3CNC2COCCCS3)OCO1 eoi
C1=C(C2=CCC2)CC1 eoj
C1=C(C2=CCC3CCCOC2O3)OCC1 eok
C1=C(C2=CCCCCCC2)CC1 eol
C1=C(C2=CCCCCCCCCCCCCC2)CCCC1 eom
C1=C(C2=CCCO2)CC2OCCCC(C1)O2 eon
C1=C(C2=CCCO2)CNCO1 eoo
C1=C(C2=CCCc3ccc(cc3)Oc3cccc(c3)CC3NCCc4c(cccc43)O2)OCO1 eop
C1=C(C2=CCCc3ccc(cc3)Oc3cccc(c3)CC3NCCc4ccc(cc43)O2)OCO1 eoq
C1=C(C2=CCNCO2)CNCO1 eor
C1=C(C2=CN=[NH+]C2)CNC1 eos
C1=C(C2=COC3CC2CCO3)OCCC1 eot
C1=C(C2=COC3CCCC2C3)C[NH2+]CC1 eou
C1=C(C2=COCCC2)CCCCCCCCOC1 eov
C1=C(C2=COCCCCC3CC2CCO3)OCCC1 eow
C1=C(C2=COCCO2)CCCSC1 eox
C1=C(C2=COCO2)CNCCCCCC1 eoy
C1=C(C2=COCO2)NC2CC1CCN2 eoz
C1=C(C2=CPNCO2)CCCN1 eoA
C1=C(C2=NCCCC2)C2CSC(C2)N1 eoB
C1=C(C2=[NH+]CCCC2)CCCN1 eoC
C1=C(C2CC3CC4CCC2C3C4)CCOC1 eoD
C1=C(C2CC3CC4OCC(N2)C3CO4)NCC1 eoE
C1=C(C2CC3CCC2COC3)CCCC1 eoF
C1=C(C2CC3CCC4CC3C(C2)O4)CCC1 eoG
C1=C(C2CC=C3C4OC5COC6OC(C2)C3C6C5O4)CCC1 eoH
C1=C(C2CC=C3CC4COC5OC(C2)C3C5C4)CCC1 eoI
C1=C(C2CCC3CCC2C3)CC2COC1C2 eoJ
C1=C(C2CCCC2)C2CC3CCCCC4C3CCC2C4C1 eoK
C1=C(C2CCCC2)C2CCC3CCC2C(C1)C3 eoL
C1=C(C2CCCC2)CC2CCC3CC2C1OCC1CCCC(OCCOCCO3)O1 eoM
C1=C(C2CCCCC2)C2CC1CCO2 eoN
C1=C(C2CCCCC2)C2OCC(C1)O2 eoO
C1=C(C2CCCCC2)C2OCCC(C1)O2 eoP
C1=C(C2CCCCC2)CCC2CCCC1O2 eoQ
C1=C(C2CCOC2)C2CCCN(CC1)C2 eoR
C1=C(C2CCOCC2)CC2CC3COC2C1C3 eoS
C1=C(C2CCSCON2)NCC1 eoT
C1=C(C2C[NH+]3CC4CCC2C3C4)COC1 eoU
C1=C(C2OC3OC4CCC5COCC3C5C42)CCCC1 eoV
C1=C(C2Oc3cccc4c3CC2C4)NCCCN1 eoW
C1=C(N2CCC2)COCOCOCc2cccc(c2)NCC2CC(CN2)S1 eoX
C1=C(N2CCCCN3CCC(CNc4cccc2c4)C3)CCCC1 eoY
C1=C(N2CCCCNCCNc3cccc2c3)CCCC1 eoZ
C1=C(N2CCCNCCCNc3cccc2c3)CCCC1 epa
C1=C(c2c[nH][nH+]n2)CCCC1 epb
C1=C(n2cnnc2)NCCCCCO1 epc
C1=C2C(=CCN1)C1CCCCCC2CCC2CCc3cccc1c3O2 epd
C1=C2C(CCC1)C1CC3OCC1OC23 epe
C1=C2C(CCN1)CCC1CNC2C1 epf
C1=C2C(Cc3cccc(c3)Oc3ccc(cc3)CC3NCCc4cc5c(cc43)OC2CO5)NCC1 epg
C1=C2C3C4=C(CCC3CC1)C1COC(=CCCN3CC5CC(C3)CN2C5)C1(C1CCCO1)CC4 eph
C1=C2C3C4CCCC2(CCC3CC4)OC1 epi
C1=C2C3CC(C3)CC2NNC1 epj
C1=C2C3CC4CC2(CCO1)CC4CO3 epk
C1=C2C3CC4CC5OC2(CCC3C5C4)COC1 epl
C1=C2C3CC4CCN5CC(CCC26CCC1C6)C3C5C4 epm
C1=C2C3CCN4CCC(C2NCC1)C4C3 epn
C1=C2C3CCN4CCC(C2NCO1)C4C3 epo
C1=C2C3CCNCCC(CC3)C2NCC1 epp
C1=C2C=C(NC1)Nc1ccc3c4c(n(cc14)CCCCCCCCCc1c[nH]cc1CC2)CCC3 epq
C1=C2CC(=C3CCOCC3)CC(CC1)C2 epr
C1=C2CC(C3CCCC3)=CCC(CCC1)C2 eps
C1=C2CC3C(=C1)CCCC31CCC(Cc3cccc(c3)CC3CC2NC(C2CCCC2)C3)C1 ept
C1=C2CC3CCC4CC5CC=C(C2CO1)C4(C3)C5 epu
C1=C2CC3CCCC34CC3CCCC5CCC6C(C1)OC21C4COCC61C53 epv
C1=C2CC3CCCCC2(CCCC1)O3 epw
C1=C2CC3CCNC4=CC5CC(=C2C(C5)C43)NC1 epx
C1=C2CC3CCOC2(C3)OCCO1 epy
C1=C2CC3CNc4cccc(c4N23)C1 epz
C1=C2CC3CNc4cccc(c4N23)N1 epA
C1=C2CC3SCC(CN1)N23 epB
C1=C2CC3SCC(CO1)N23 epC
C1=C2CCC(C3CO3)CCC(CC1)C2 epD
C1=C2CCC(CCCCC1C1CCCC1)OC2 epE
C1=C2CCC3(C4CCCO4)C(=CCCN4CC5CC(C4)C4CCC6=C(C2CCC6)N4C5)OCC13 epF
C1=C2CCC3(C4CCCO4)C1COC3CCCN1CC3CC(C1)C1CCC4CCCC2C4N1C3 epG
C1=C2CCC34CCC5=C6C3C3=C(C2C4)C24COC(=CC7CC8CCC9(CCCC9)C7N7CC9CC(CN6C9CC5)C87)C2(CC3)CC4CC1 epH
C1=C2CCC34CCC5=C6C3C3=C(C2C4)C24COC(=CC7CC8CCCC7N7CC9CC(CN6C9CC5)C87)C2(CC3)CC4CC1C1CCCC1 epI
C1=C2CCC34CCC5=C6C3C3=C(C2C4)C24COC(=CCCN7CC8CC(C7)C(CC5)N6C8)C2(CC3)CC4CC1C1CCCC1 epJ
C1=C2CCC3=C2C(CC1)OCC3 epK
C1=C2CCC3=C2N(CC1)CCC3 epL
C1=C2CCC3=C2N(CC1)NCC3 epM
C1=C2CCC3=C2N(CC1)OCC3 epN
C1=C2CCC3C(=CC4CCC5C6CC(CN(C6)C6=CCCCC26)CN5C4)OCC13 epO
C1=C2CCC3C(=CCCN4CC5CC(C4)CN(C5)C4=CCCCC24)OCC13 epP
C1=C2CCC3C1COC3CCC(C1CCCC1)N1CC3CC(C1)C1CCC4CCCC2C4N1C3 epQ
C1=C2CCC3C4C(CC56NNCCC5CCC36)NCCC24CCC1 epR
C1=C2CCC3C4C(CC56NNCCC5CCC36)NNNC24CCC1 epS
C1=C2CCC3C4C(CC56NOCCC57NNN=NC7CC36)NNCC24CCC1 epT
C1=C2CCC3C4C(CC56NOCCC57NNN=NC7NC36)NNCC24CCC1 epU
C1=C2CCC3C4C(CC56NOCCC5CCC36)NCCC24CCC1 epV
C1=C2CCC3C4C(CC56NOCCC5CCC36)NNCC24CCC1 epW
C1=C2CCC3C4C(CCCC24CCC1)CC12NNCCC1CCC32 epX
C1=C2CCC3C4C(CNCC24CCC1)CC12NNCCC1CCC32 epY
C1=C2CCC3C4C(CNNC24CCC1)CC12NNCCC1CCC32 epZ
C1=C2CCC3C4C(NCCC24CCC1)NC12NOCCC1CCC32 eqa
C1=C2CCC3CC2(CCCN3)CO1 eqb
C1=C2CCC3CC2(CCN3)CO1 eqc
C1=C2CCC3CC2(CC[NH2+]3)CO1 eqd
C1=C2CCC3CC4CC5COCCC5C5CCC6C(C1)OC21C3COCC61C45 eqe
C1=C2CCC3CC4CCC5(CO5)C5CCC6C(C1)OC21C3COCC61C45 eqf
C1=C2CCC3CCC(C3)C2C2CCCC1C2 eqg
C1=C2CCC3CCC4NCCC5NN(CC1)C2C3C45 eqh
C1=C2CCC3CCCC(OC1)C23 eqi
C1=C2CCC3CCCC4C(C1)CCC234 eqj
C1=C2CCC3CCCC4CCCC2(CCC1)C43 eqk
C1=C2CCC3CCCC4CCCC2(NCC1)C43 eql
C1=C2CCC3CCCC4CCNC2(CCC1)C43 eqm
C1=C2CCC3CCCC4CCNC2(NCC1)C43 eqn
C1=C2CCC3CCCC4CCOC2(CCC1)C43 eqo
C1=C2CCC3CCCC4CNCC2(CCC1)C34 eqp
C1=C2CCC3CCCC4CNCC2(NCC1)C34 eqq
C1=C2CCC3CCCC4CNNC2(CCC1)C34 eqr
C1=C2CCC3CCCC4CNNC2(NCC1)C34 eqs
C1=C2CCC3CCCC4COOC2(CCC1)C34 eqt
C1=C2CCC3CCCC4NCCC2(CCC1)C34 equ
C1=C2CCC3CCCC4NCNC2(CCC1)C34 eqv
C1=C2CCC3CCCC4NCOC2(CCC1)C34 eqw
C1=C2CCC3CCCC4NNCC2(CCC1)C34 eqx
C1=C2CCC3CCCC4NNCC2(NCC1)C34 eqy
C1=C2CCC3CCCC4NNNC2(CCC1)C34 eqz
C1=C2CCC3CCCC4NNNC2(NCC1)C34 eqA
C1=C2CCC3CCCC4NNOC2(CCC1)C34 eqB
C1=C2CCC3CCCC4NOOC2(CCC1)C34 eqC
C1=C2CCC3CCCC4OCCC2(CCC1)C34 eqD
C1=C2CCC3CCCC4OCNC2(CCC1)C34 eqE
C1=C2CCC3CCCC4ONCC2(CCC1)C34 eqF
C1=C2CCC3CCCC4ONNC2(CCC1)C34 eqG
C1=C2CCC3CCCCC(C2C3)C(C2CCCCC2)C1 eqH
C1=C2CCC3CCCCC34CNNCC24CCC1 eqI
C1=C2CCC3CCCCC34NCNNC24CCC1 eqJ
C1=C2CCC3CCCCC34ONNCC24CCC1 eqK
C1=C2CCC3CCCCC3C(=CCC1)O2 eqL
C1=C2CCC3CCCN4CCC(CC1)C2C34 eqM
C1=C2CCC3CCCN4CCCC2(CCC1)C34 eqN
C1=C2CCC3CCCN4CCNC2(CCC1)C34 eqO
C1=C2CCC3CCCN4CNC(CC1)C2C34 eqP
C1=C2CCC3CCCN4CNCC2(CCC1)C34 eqQ
C1=C2CCC3CCCN4CNCC2(NCC1)C34 eqR
C1=C2CCC3CCCN4CNNC2(CCC1)C34 eqS
C1=C2CCC3CCCN4CNNC2(NCC1)C34 eqT
C1=C2CCC3CCCN4NCCC2(CCC1)C34 eqU
C1=C2CCC3CCCN4NCNC2(CCC1)C34 eqV
C1=C2CCC3CCCN4NNC(CC1)C2C34 eqW
C1=C2CCC3CCCN4NNCC2(CCC1)C34 eqX
C1=C2CCC3CCCN4NNNC2(CCC1)C34 eqY
C1=C2CCC3CCN(CC1)N23 eqZ
C1=C2CCC3CCN(CN1)N23 era
C1=C2CCC3CCNC4C(C1)CCC234 erb
C1=C2CCC3CCNC4CNNC2(CCC1)C34 erc
C1=C2CCC3CCNC4CNNC2(NCC1)C34 erd
C1=C2CCC3CCNC4NCCC2(CCC1)C34 ere
C1=C2CCC3CCNC4NCCC2(NCC1)C34 erf
C1=C2CCC3CCNC4NCNC2(CCC1)C34 erg
C1=C2CCC3CCNC4NCOC2(CCC1)C34 erh
C1=C2CCC3CCNC4NNCC2(CCC1)C34 eri
C1=C2CCC3CCNC4NNCC2(NCC1)C34 erj
C1=C2CCC3CCNC4NNNC2(CCC1)C34 erk
C1=C2CCC3CCNC4NNOC2(CCC1)C34 erl
C1=C2CCC3CCNN4CCC(CC1)C2C34 erm
C1=C2CCC3CCNN4CNCC2(NCC1)C34 ern
C1=C2CCC3CCNN4CNNC2(NCC1)C34 ero
C1=C2CCC3CCNN4NCCC2(CCC1)C34 erp
C1=C2CCC3CCNN4NCNC2(CCC1)C34 erq
C1=C2CCC3CCNN4NNCC2(NCC1)C34 err
C1=C2CCC3CNCC4C(C1)CCC234 ers
C1=C2CCC3CNCC4CNCC2(NCC1)C34 ert
C1=C2CCC3CNCC4NNCC2(NCC1)C34 eru
C1=C2CCC3CNCN4NCNC2(CCC1)C34 erv
C1=C2CCC3CNCN4NNNC2(CCC1)C34 erw
C1=C2CCC3CNCc4cc(c2n43)CC1 erx
C1=C2CCC3CNNC4C(C1)CCC234 ery
C1=C2CCC3CNNC4NNCC2(NCC1)C34 erz
C1=C2CCC3CNOC4NNCC2(NCC1)C34 erA
C1=C2CCC3COCc4cc(c2n43)CC1 erB
C1=C2CCC3NCCC4C(C1)CCC234 erC
C1=C2CCC3NCCN4C(C1)CCC234 erD
C1=C2CCC3NCNN4C(C1)CCC234 erE
C1=C2CCC3NCOC4CCC(CC1)C2=C34 erF
C1=C2CCC3NCOC4CCC(NC1)C2=C34 erG
C1=C2CCC3NNCC4C(C1)CCC234 erH
C1=C2CCC3NNCN4C(C1)CCC234 erI
C1=C2CCC3NNCc4cc(c2n43)CC1 erJ
C1=C2CCC3NNNC4C(C1)CCC234 erK
C1=C2CCC3NNNN4C(C1)CCC234 erL
C1=C2CCC3NNOC4CCC(CC1)C2=C34 erM
C1=C2CCCC(C3CO3)CC(CC1)C2 erN
C1=C2CCCC(C3COC3)C3OCCNCCNCCNCCNCNCCCOC1CC3C2 erO
C1=C2CCCC(C3COC3)CC(CC1)C2 erP
C1=C2CCCC(CCC3CCOC13)COC2 erQ
C1=C2CCCC23C2CCC3C(CC1)CN2 erR
C1=C2CCCC23C2CCC3C(CC1)C[NH2+]2 erS
C1=C2CCCC23C2CCC4CCN(CC2CC1)C43 erT
C1=C2CCCC23C2CCCC3C(CC1)CN2 erU
C1=C2CCCC23CC2CCC3C(CC1)CN2 erV
C1=C2CCCC23CC2CCN4CC(CC1)C3C4C2 erW
C1=C2CCCC23CC2CCN4CC(CC1)C3CC24 erX
C1=C2CCCC23CCCN(CC1)C3 erY
C1=C2CCCC23CCCNC3CC1 erZ
C1=C2CCCC23CCNCC3CC1 esa
C1=C2CCCC23CCNNC3CC1 esb
C1=C2CCCC23CN2CCCCCC3C(CC1)C2 esc
C1=C2CCCC23CNCC(CC1)C3 esd
C1=C2CCCC23CNCCC3CC1 ese
C1=C2CCCC23CNCNC3CC1 esf
C1=C2CCCC23CNNCC3CC1 esg
C1=C2CCCC23CNNNC3CC1 esh
C1=C2CCCC23COCCC3CC1 esi
C1=C2CCCC23COCNC3CC1 esj
C1=C2CCCC23NCCCC3CC1 esk
C1=C2CCCC23NCNCC3CC1 esl
C1=C2CCCC23NNCCC3CC1 esm
C1=C2CCCC23NNCNC3CC1 esn
C1=C2CCCC23NNNCC3CC1 eso
C1=C2CCCC23NNNNC3CC1 esp
C1=C2CCCC23NOCCC3CC1 esq
C1=C2CCCC2C2CCCC1CC2 esr
C1=C2CCCC2CCOPO1 ess
C1=C2CCCC3=C2C(=CC1)OCC3 est
C1=C2CCCC3=CCCOC23CCC1 esu
C1=C2CCCC3=CNC(=NC1)N23 esv
C1=C2CCCC3CC(C4CCCC4)C1CC23 esw
C1=C2CCCC3CC23NCC1 esx
C1=C2CCCC3CC23NNC1 esy
C1=C2CCCC3CCC(CC1)C23 esz
C1=C2CCCC3CCC(CC1)N23 esA
C1=C2CCCC3CCC(NC1)C23 esB
C1=C2CCCC3CCCC(=C23)CC1 esC
C1=C2CCCC3CCCC(=CC1)N23 esD
C1=C2CCCC3CCCC(C1)C23 esE
C1=C2CCCC3CCCC(CC1)C23 esF
C1=C2CCCC3CCCC(N1)C23 esG
C1=C2CCCC3CCCC(NC1)C23 esH
C1=C2CCCC3CCCN(CC1)N23 esI
C1=C2CCCC3CCCN(OC1)N23 esJ
C1=C2CCCC3CCCNC23CCC1 esK
C1=C2CCCC3CCNC(CC1)C23 esL
C1=C2CCCC3CCNN(NC1)C23 esM
C1=C2CCCC3CCNc4nccc5c6c(c(cc45)OC14CCCC1(CCCC3=C21)O4)CCCC6 esN
C1=C2CCCC3CCNc4nccc5ccc(cc45)OC14CCCC1(CC5(CCCC5)CC3=C21)O4 esO
C1=C2CCCC3CCOC(CC1)C23 esP
C1=C2CCCC3CCc4cccc(c4O3)CC2=CCN1 esQ
C1=C2CCCC3CN4CCC5CCC3C2(CC1)C54 esR
C1=C2CCCC3CNC4CCCC(C1)C4C23 esS
C1=C2CCCC3CNCC(=C23)CC1 esT
C1=C2CCCC3CNCC(=CC1)N23 esU
C1=C2CCCC3CNCC(CC1)C23 esV
C1=C2CCCC3CNCCC23CCC1 esW
C1=C2CCCC3CNCNC23CCC1 esX
C1=C2CCCC3CNNC(=CC1)N23 esY
C1=C2CCCC3CNNC(CC1)C23 esZ
C1=C2CCCC3CNNCC23CCC1 eta
C1=C2CCCC3CNNCC23NCC1 etb
C1=C2CCCC3NCC4CCNC(N1)C4C23 etc
C1=C2CCCC3NCCC(=CC1)N23 etd
C1=C2CCCC3NCCC(C1)C23 ete
C1=C2CCCC3NCCC(CC1)C23 etf
C1=C2CCCC3NCCC(N1)C23 etg
C1=C2CCCC3NCCC(O1)C23 eth
C1=C2CCCC3NCCN4NCCC(CC1)C234 eti
C1=C2CCCC3NCCNC23CCC1 etj
C1=C2CCCC3NCNC(CC1)C23 etk
C1=C2CCCC3NCNC(CN1)C23 etl
C1=C2CCCC3NCNCC23CCC1 etm
C1=C2CCCC3NCNNC23CCC1 etn
C1=C2CCCC3NNC4CCNC(N1)C4C23 eto
C1=C2CCCC3NNCC(=C23)CC1 etp
C1=C2CCCC3NNCC(CC1)C23 etq
C1=C2CCCC3NNCNC23CCC1 etr
C1=C2CCCC3NNCNC23CCN1 ets
C1=C2CCCC3NNNC(CC1)C23 ett
C1=C2CCCC3NNNCC23CCC1 etu
C1=C2CCCC3NNNNC23CCC1 etv
C1=C2CCCC3NNOC(CC1)C23 etw
C1=C2CCCC3NOCC(CC1)C23 etx
C1=C2CCCC3NOCNC23CCN1 ety
C1=C2CCCC3OCCC(O1)C23 etz
C1=C2CCCC=C2CN=[SH]1 etA
C1=C2CCCCC(CC1)C2 etB
C1=C2CCCCC1C2 etC
C1=C2CCCCC23CC2C1C2C3 etD
C1=C2CCCCC23CC2CCCCC4C2CCC3C4C1 etE
C1=C2CCCCC23CCC2CCC3C(C1)C2 etF
C1=C2CCCCC23CCCC2CCCC(C1)C23 etG
C1=C2CCCCC23CCCCC3CC1 etH
C1=C2CCCCC23CCCCC3CN1 etI
C1=C2CCCCC23CCNC2CCCC(C1)C23 etJ
C1=C2CCCCC23CCNCC3CC1 etK
C1=C2CCCCC23CCNN2CCCC(C1)C23 etL
C1=C2CCCCC23CNCCC32CCCCC2C1 etM
C1=C2CCCCC23CNNC2CC45OCNCC4CC4CNC1C(C23)C45 etN
C1=C2CCCCC23CNNC2CC45OCNCC4CCC5C(C1)C23 etO
