B aaa
C1#CC2CC#COCCOC2N2C=C3C(=CN=C3C2)CCCC1 acT
C1#CC2CC#COCCOC2N2C=C3N=CC(=C3C2)CCCC1 acU
C1#CC2CC#COCCOC2[N+]2=CC3=NC=C(CCCC1)C3=C2 acV
C1#CC2CC#COCCOC2n2cc3[nH]cc(c3c2)CCCC1 acW
C1#CC2CC(OCCC1)C13C4=COC2C1CCCC3C1C=CC4C1 acX
C1#CC2CC(OCCC1)C13C4=COC2C1CCCC3CCC4 acY
C1#CC2CC(OCCC1)C13C=COC2C1CCCC3 acZ
C1#CC2CC3(CCC2C2CCCCC2)CCC2(CCC(C1)C2)C3 ada
C1#CC2CC3(CCCCC1)CC1CCC4CCC5=C(C41)C3C1C(CCCC21)C5 adb
C1#CC2CC3(NN4CC#COC2C2CCCC(CC4)C23)OCCC1 adc
C1#CC2CC3C#CC45CCC=CC4NCNCCc4cccc(c4)CC(C1)NCC1(C2)CC(CCN1)Oc1cccc(c1)CC3CCCCC5 add
C1#CC2CC3C#CC4CCCCCC3Cc3cccc(c3)OC3CCNC(CNC(C1)Cc1cccc(c1)CCNCNC4)(C2)C3 ade
C1#CC2CC3C4=CC5=C6CCC78C(=CCCN9CC%10CC(C9)C9C=CC2=C(C63)N9C%10)OCC57C(CCCCc2ccc(c(c2)C4)C1)C81CCCO1 adf
C1#CC2CC3C4=CC5=C6CCC78CC(CCCCc9ccc(c(c9)C4)C1)C57COC8=CCCN1CC4CC(C1)C1CCC2=C(C63)N1C4 adg
C1#CC2CC3C4CC5=C6CCC78C(=CCCN9CC%10CC(C9)C9C=CC2=C(C63)N9C%10)OCC57C(CCCCc2ccc(c(c2)C4)C1)C81CCCO1 adh
C1#CC2CC3C4CC5=C6CCC78C(=CCCN9CC%10CC(C9)C9CCC2=C(C63)N9C%10)OCC57C(CCCCc2ccc(c(c2)C4)C1)C81CCCO1 adi
C1#CC2CC3CC(CCN3)Oc3cccc(c3)CC3CCCCCC4(C#CC3C2)CCN2CC3CC(CN(CNCNC4)C3)C2C1 adj
C1#CC2CC3CC4=CCNC(=C4)Nc4ccc5ccc(cc5c4)CCCNCCc4c[nH]c(c4)CCCC(C3)CC2CCCCCCCC1 adk
C1#CC2CC3CCC(CCC4CC5CC(CN6CC6C1)NCC5O4)C31CCCC2C1 adl
C1#CC2CC3CCC2(OC3)C2CCCC(C2)C2C=CC1CC2 adm
C1#CC2CC3CCC2(OC3)C2CCCC(CCCC1)C2 adn
C1#CC2CC3CCC4NCCc5cccc(c5)CCNCNCC1CCCCCC2Cc1cccc(c1)OC1CCNC4(C3)C1 ado
C1#CC2CC3CCCC4=C(CCC1)CC(C2)C43 adp
C1#CC2CC3CCCC4CCNNC(C2)(OCCC1)C43 adq
C1#CC2CC3CCCCC3C(C2)OCCC1 adr
C1#CC2CC3CCCCCC4C=C5CC2C2(CC=CN(CNC1)C2)C53C4 ads
C1#CC2CC3COC24C(CCC2C(CCCC1)CCCC24)C3 adt
C1#CC2CC3OCC(C1)CC=CCCC1(CCCCC31)C2 adu
C1#CC2CC=CC3=CCC(C=C3)CC(CCCCc3cccc(c3)OCc3ccc4c2ccc2c4c3C=CC2)O1 adv
C1#CC2CCC#CC(=C1)CCOCCCc1ccc(cc1)O2 adw
C1#CC2CCC3(CCCC4Oc5cccc(c5)C5CCc6c(ccc7c6C(CCC7)C6C=CC(CCCC(C1)CNCNCCC43)CC6)O5)C2 adx
C1#CC2CCC34C=CCC56C(CC=C7CCCC(CCCCC1)C75)C(C=C3)CCC246 ady
C1#CC2CCC34CCC=C3CC2C42CC=CN(C=NC1)C2 adz
C1#CC2CCC34CCC=C3CC2C42CC=CN(CNC1)C2 adA
C1#CC2CCC34CCC=C3CC2C42CCCN(CNC1)C2 adB
C1#CC2CCC34OC5C6C=CCC(CCCOCC2(O3)C23CC4CCC2=CC=C(CCC1)O3)C5C=CC6 adC
C1#CC2CCC34OC5C6C=CCC7CCC(C=CC75C=CC6)OCC2(O3)C23CC4CCC2=CC=C(CCC1)O3 adD
C1#CC2CCC3C(CCC34C#CCC3(CC5CC(CC4)OC5CN3)CN3CC3C1)C2 adE
C1#CC2CCC3C(CCC4CC5C6C=CC(NC6CN6CC6C1)C5O4)CCC3C2 adF
C1#CC2CCC3C(CCC4CC5CC(CN6CC6C1)NCC5O4)CCC3C2 adG
C1#CC2CCC3C=CCC45C(CC=C6CCCC(CCCCC1)C64)CCCC235 adH
C1#CC2CCC3C=CCC4C=CC=C(C1)C43CCCCCCCn1cc3cccc(c3c1)NC1=CC(=CCN1)C2 adI
C1#CC2CCC3CCC2C3CNCNC1 adJ
C1#CC2CCC3CCC4CC(CC1)CC1(CCCC1)C24C3 adK
C1#CC2CCC3CCC4CC(CC1)CC1CC=CC3C214 adL
